X,Y,Height
3561939.000,5780157.000,0.000
3561939.000,5782356.796,0.000
3561939.000,5784556.592,0.000
3561939.000,5786756.388,0.000
3561939.000,5788956.184,0.000
3561939.000,5791155.980,0.000
3561939.000,5793355.776,0.000
3561939.000,5795555.571,0.000
3561939.000,5797755.367,0.000
3561939.000,5799955.163,0.000
3561939.000,5802154.959,0.000
3561939.000,5804354.755,0.000
3561939.000,5806554.551,0.000
3561939.000,5808754.347,0.000
3561939.000,5810954.143,0.000
3561939.000,5813153.939,0.000
3561939.000,5815353.735,0.000
3561939.000,5817553.531,0.000
3561939.000,5819753.327,0.000
3561939.000,5821953.122,0.000
3561939.000,5824152.918,-1000.000
3561939.000,5826352.714,0.000
3561939.000,5828552.510,0.000
3561939.000,5830752.306,0.000
3561939.000,5832952.102,0.000
3561939.000,5835151.898,0.000
3561939.000,5837351.694,0.000
3561939.000,5839551.490,0.000
3561939.000,5841751.286,0.000
3561939.000,5843951.082,0.000
3561939.000,5846150.878,0.000
3561939.000,5848350.673,0.000
3561939.000,5850550.469,0.000
3561939.000,5852750.265,0.000
3561939.000,5854950.061,2000.000
3561939.000,5857149.857,4000.000
3561939.000,5859349.653,0.000
3561939.000,5861549.449,0.000
3561939.000,5863749.245,0.000
3561939.000,5865949.041,0.000
3561939.000,5868148.837,0.000
3561939.000,5870348.633,0.000
3561939.000,5872548.429,0.000
3561939.000,5874748.224,0.000
3561939.000,5876948.020,0.000
3561939.000,5879147.816,0.000
3561939.000,5881347.612,0.000
3561939.000,5883547.408,0.000
3561939.000,5885747.204,15000.000
3561939.000,5887947.000,13000.000
